"","id_turma","discente","media_final","descricao","letivo","nome_docente","qtd_discentes","postura_profissional_media","postura_profissional_DP","atuacao_profissional_media","atuacao_profissional_DP","autoavaliacao_aluno_media","autoavaliacao_aluno_DP"
"79",57576732,"3ec676325346e82c629a33ea6e055a63","9","APROVADO",20161,"RAFAELA HORACINA SILVA ROCHA SOARES",17,8.63,1.69,8.71,1.96,8.2,2.21
"82",57576732,"fd0e048fa965135d37b08eb877ce9a2d","5,5","APROVADO POR NOTA",20161,"RAFAELA HORACINA SILVA ROCHA SOARES",17,8.63,1.69,8.71,1.96,8.2,2.21
"85",57576732,"c6e6b75a1e8fb3912dc281802313a782","7,5","APROVADO",20161,"RAFAELA HORACINA SILVA ROCHA SOARES",17,8.63,1.69,8.71,1.96,8.2,2.21
"88",57576732,"3f2ec6b2a081c6527c55ccb946e6c301","5,9","APROVADO POR NOTA",20161,"RAFAELA HORACINA SILVA ROCHA SOARES",17,8.63,1.69,8.71,1.96,8.2,2.21
"91",57576732,"f5d92d4830c68497a8fb9d3c45b5021d","5,7","APROVADO POR NOTA",20161,"RAFAELA HORACINA SILVA ROCHA SOARES",17,8.63,1.69,8.71,1.96,8.2,2.21
"94",57576732,"c18607f545403e630e94ede7f1bd999d","5","APROVADO POR NOTA",20161,"RAFAELA HORACINA SILVA ROCHA SOARES",17,8.63,1.69,8.71,1.96,8.2,2.21
"97",57579588,"6109a4522de4efa578cf03af542e42c2","1,1","REPROVADO",20161,"ATHANASIOS TSOUANAS",31,8.53,2.04,8.14,2.82,8.32,2.43
"100",57579588,"9c8c21e07fb93342e39e3564779181cb","0,9","REPROVADO",20161,"ATHANASIOS TSOUANAS",31,8.53,2.04,8.14,2.82,8.32,2.43
"103",57579588,"41a0fc5b21f574bff1124ce4193798dd","0,5","REPROVADO",20161,"ATHANASIOS TSOUANAS",31,8.53,2.04,8.14,2.82,8.32,2.43
"106",57579588,"7f0d85e8504e1e1297269f63719aaf14","0,8","REPROVADO",20161,"ATHANASIOS TSOUANAS",31,8.53,2.04,8.14,2.82,8.32,2.43
"109",57579588,"49208e17edc8abc9f569379519f10c3d","6","APROVADO POR NOTA",20161,"ATHANASIOS TSOUANAS",31,8.53,2.04,8.14,2.82,8.32,2.43
"112",57579588,"fae6784fd8581f61d59837212d345dec","0,3","REPROVADO",20161,"ATHANASIOS TSOUANAS",31,8.53,2.04,8.14,2.82,8.32,2.43
"115",57579588,"03d1661f09d52870539b3ee78538ad41","4,2","REPROVADO",20161,"ATHANASIOS TSOUANAS",31,8.53,2.04,8.14,2.82,8.32,2.43
"118",57579588,"4e2d113c8863de54bfcd5b4dcfa57515","3,5","REPROVADO",20161,"ATHANASIOS TSOUANAS",31,8.53,2.04,8.14,2.82,8.32,2.43
"121",57579588,"742296fb962be2ad96a2bd79adf865e4","0","REPROVADO",20161,"ATHANASIOS TSOUANAS",31,8.53,2.04,8.14,2.82,8.32,2.43
"124",57579588,"b272979543ada0403e8901e0ba5b3ab7","5,9","APROVADO POR NOTA",20161,"ATHANASIOS TSOUANAS",31,8.53,2.04,8.14,2.82,8.32,2.43
"127",57579588,"735dfc644d5a0dc7871c530b3dd391df","0","REPROVADO",20161,"ATHANASIOS TSOUANAS",31,8.53,2.04,8.14,2.82,8.32,2.43
"130",57579588,"4c075318c6bd8020449dc0a04d5d796b","3","REPROVADO",20161,"ATHANASIOS TSOUANAS",31,8.53,2.04,8.14,2.82,8.32,2.43
